Log_Length,Rating,Auth__Albert Einstein,Auth__C.S. Lewis,Auth__Dr. Seuss,Auth__Eleanor Roosevelt,Auth__J.K. Rowling,Auth__Jane Austen,Auth__Marilyn Monroe,Auth__Mark Twain,Auth__Mother Teresa,Auth__Other,Auth__Ralph Waldo Emerson,Tag__books,Tag__humor,Tag__inspirational,Tag__life,Tag__love
4.7535901911063645,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.454347296253507,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.765603845172741,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9.307920700315046,4,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
4.718498871295094,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4.219507705176107,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.837681215593197,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
4.189654742026425,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4.454347296253507,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.9318256327243257,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.68213122712422,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.3694478524670215,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.532599493153256,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.564348191467836,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
10.83220080440884,8,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
4.418840607796598,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8.687610843707368,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0
4.127134385045092,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5.768320995793772,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4.248495242049359,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.9889840465642745,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4.820281565605037,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.90527477843843,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.51085950651685,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4.9344739331306915,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.135798437050262,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.2626798770413155,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.189654742026425,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.6913478822291435,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.68213122712422,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.584967478670572,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.394449154672439,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4.23410650459726,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4.30406509320417,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3.5553480614894135,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.8918202981106265,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.189654742026425,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4.007333185232471,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4.624972813284271,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.764053269347762,4,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4.290459441148391,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.143134726391533,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4.343805421853684,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.836281906951478,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4.59511985013459,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.828641396489095,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4.174387269895637,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.77912349311153,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4.919980925828125,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3.7376696182833684,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.90527477843843,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.997212273764115,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.709530201312334,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4.290459441148391,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.5553480614894135,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3.713572066704308,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5.0369526024136295,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8.496990484098719,8,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0
5.53338948872752,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.189654742026425,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.477336814478207,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6.248042874508429,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.6109179126442243,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.5217885770490405,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.394449154672439,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.594711379601839,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4.110873864173311,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.332718793265369,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.543294782270004,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4.276666119016055,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.836281906951478,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.68213122712422,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.488937726156687,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4.406719247264253,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.770684624465665,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4.02535169073515,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.31748811353631,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.04305126783455,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4.219507705176107,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.36426245424844,10,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
5.53338948872752,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.318119993844216,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5.736572297479192,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.248495242049359,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.844187086458591,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.653960350157523,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4.454347296253507,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.890349128221754,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.820281565605037,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.6443908991413725,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3.7612001156935624,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4.110873864173311,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.174387269895637,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5.003946305945459,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.941642422609304,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4.07753744390572,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.784189633918261,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.406719247264253,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
